codeno,location,concat_date_time_in,concat_date_time_out,time_diff,day,total_space,color_value
2,"(6.977074, 79.931796)",2/25/2021 6:44,2/25/2021 6:48,4,T,230,352100
2,"(6.977074, 79.931796)",2/25/2021 6:45,2/25/2021 6:53,8,T,230,352100
2,"(6.977074, 79.931796)",2/25/2021 6:46,2/25/2021 6:55,9,T,230,352100
2,"(6.977074, 79.931796)",2/25/2021 6:47,2/25/2021 6:51,4,T,230,352100
2,"(6.977074, 79.931796)",2/25/2021 6:47,2/25/2021 6:56,9,T,230,352100
2,"(6.977074, 79.931796)",2/25/2021 6:47,2/25/2021 6:49,2,T,230,352100
2,"(6.977074, 79.931796)",2/25/2021 6:47,2/25/2021 6:51,4,T,230,352100
2,"(6.977074, 79.931796)",2/25/2021 6:49,2/25/2021 7:00,11,T,230,352100
2,"(6.977074, 79.931796)",2/25/2021 6:50,2/25/2021 6:50,0,T,230,352100
2,"(6.977074, 79.931796)",2/25/2021 6:50,2/25/2021 6:54,4,T,230,352100
2,"(6.977074, 79.931796)",2/25/2021 6:50,2/25/2021 6:52,2,T,230,352100
2,"(6.977074, 79.931796)",2/25/2021 6:53,2/25/2021 6:54,1,T,230,352100
2,"(6.977074, 79.931796)",2/25/2021 6:54,2/25/2021 6:58,4,T,230,352100
2,"(6.977074, 79.931796)",2/25/2021 6:54,2/25/2021 6:59,5,T,230,352100
2,"(6.977074, 79.931796)",2/25/2021 6:54,2/25/2021 6:57,3,T,230,352100
2,"(6.977074, 79.931796)",2/25/2021 6:56,2/25/2021 6:59,3,T,230,352100
2,"(6.977074, 79.931796)",2/25/2021 6:57,2/25/2021 7:10,13,T,230,352100
2,"(6.977074, 79.931796)",2/25/2021 6:59,2/25/2021 7:08,9,T,230,352100
2,"(6.977074, 79.931796)",2/25/2021 6:59,2/25/2021 7:05,6,T,230,352100
2,"(6.977074, 79.931796)",2/25/2021 6:59,2/25/2021 7:16,17,T,230,352100
2,"(6.977074, 79.931796)",2/25/2021 7:01,2/25/2021 7:08,7,T,230,352100
2,"(6.977074, 79.931796)",2/25/2021 7:01,2/25/2021 7:05,4,T,230,352100
2,"(6.977074, 79.931796)",2/25/2021 7:01,2/25/2021 7:08,7,T,230,352100
2,"(6.977074, 79.931796)",2/25/2021 7:01,2/25/2021 7:04,3,T,230,352100
2,"(6.977074, 79.931796)",2/25/2021 7:03,2/25/2021 7:20,17,T,230,352100
2,"(6.977074, 79.931796)",2/25/2021 7:04,2/25/2021 7:23,19,T,230,352100
2,"(6.977074, 79.931796)",2/25/2021 7:04,2/25/2021 7:09,5,T,230,352100
2,"(6.977074, 79.931796)",2/25/2021 7:04,2/25/2021 7:12,8,T,230,352100
2,"(6.977074, 79.931796)",2/25/2021 7:04,2/25/2021 7:18,14,T,230,352100
2,"(6.977074, 79.931796)",2/25/2021 7:04,2/25/2021 7:08,4,T,230,352100
2,"(6.977074, 79.931796)",2/25/2021 7:04,2/25/2021 7:06,2,T,230,352100
2,"(6.977074, 79.931796)",2/25/2021 7:06,2/25/2021 7:15,9,T,230,352100
2,"(6.977074, 79.931796)",2/25/2021 7:07,2/25/2021 7:14,7,T,230,352100
2,"(6.977074, 79.931796)",2/25/2021 7:07,2/25/2021 7:10,3,T,230,352100
2,"(6.977074, 79.931796)",2/25/2021 7:10,2/25/2021 7:25,15,T,230,352100
2,"(6.977074, 79.931796)",2/25/2021 7:11,2/25/2021 7:27,16,T,230,352100
2,"(6.977074, 79.931796)",2/25/2021 7:11,2/25/2021 7:13,2,T,230,352100
2,"(6.977074, 79.931796)",2/25/2021 7:12,2/25/2021 7:16,4,T,230,352100
2,"(6.977074, 79.931796)",2/25/2021 7:13,2/25/2021 7:25,12,T,230,352100
2,"(6.977074, 79.931796)",2/25/2021 7:14,2/25/2021 7:19,5,T,230,352100
,,,,,,,
3,"(6.976094, 79.925311)",1/25/2021 5:30,1/25/2021 5:35,5,W,55,895603
3,"(6.976094, 79.925311)",1/25/2021 5:32,1/25/2021 5:58,26,W,55,895603
3,"(6.976094, 79.925311)",1/25/2021 5:32,1/25/2021 5:57,25,W,55,895603
3,"(6.976094, 79.925311)",1/25/2021 5:33,1/25/2021 5:38,5,W,55,895603
